id,company_name,address,city,state,zip_code,country,phone,email,website,member_url,staffing_specialization,placement_type,industries_served,member_since,asa_member_type,is_hq,ownership_type,certified_professionals,geographic_scope,num_offices_in_state,dataset,source_url,crawl_date,crawl_session,dedup_hash,first_seen,last_seen,is_new
90,ManpowerGroup,1648 Whittlesey Rd Ste 100,Columbus,Georgia,31904-3657,United States,,,https://www.manpower.com,https://americanstaffing.net/members-directory/manpowergroup-0015w00002urhcjaat/,"Engineering (20%), IT (20%), Industrial (20%), Office Clerical (20%)","Direct Hire (10%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (10%), HR Consulting (10%), Payrolling (10%), Managed Services (10%), Outplacement (10%)",,1975-01-20,Staffing Firm,No,Offer franchises,3,National,19,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,434a82951f985fd70d314dc7ff980ee5,2026-03-26 10:39:49,2026-03-26 10:39:49,1
91,TrueBlue Inc.,1032 Linwood Blvd,Columbus,Georgia,31901-1939,United States,+17063234832,,https://www.trueblue.com,https://americanstaffing.net/members-directory/trueblue-inc-0015w00002urgkuaad/,Industrial (100%),Temp Help (100%),,2002-11-07,Staffing Firm,No,,1,National,27,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,74b2fe4e2477bcfe6d4e29bd7a82d626,2026-03-26 10:39:49,2026-03-26 10:39:49,1
92,Staffing Connections,5629 Princeton Ave Ste 1,Columbus,Georgia,31904-9110,United States,+17063241910,,https://www.staffing-connections.com,https://americanstaffing.net/members-directory/staffing-connections-0015w00002urzbzaah/,,Govt Contracting (5%),,2011-01-01,Staffing Firm,No,,45,Local,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,14781b742516fe2b12fabb3ba64dd75f,2026-03-26 10:39:49,2026-03-26 10:39:49,1
93,MedPro Healthcare Staffing,5608 Princeton Ave,Columbus,Georgia,31904-9045,United States,+17063227085,,https://www.medprostaffing.com,https://americanstaffing.net/members-directory/medpro-healthcare-staffing-0015w00002urfksaal/,,,,2022-07-08,Staffing Firm,No,,,Regional,1,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,ffdb661ec562030d639eff342b4dca5d,2026-03-26 10:39:49,2026-03-26 10:39:49,1
94,EmployBridge,5651 Whitesville Rd Ste 103,Columbus,Georgia,31904-9109,United States,+17063277877,,https://www.employbridge.net,https://americanstaffing.net/members-directory/employbridge-0015w00002ure6faad/,"Health Care (5%), Industrial (60%), Office Clerical (30%), Other (5%)",Temp Help (100%),,2001-04-03,Staffing Firm,No,,80,National,14,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,3c494f681ca84962a6e7715dd18301b6,2026-03-26 10:39:49,2026-03-26 10:39:49,1
95,Spherion,"6440 W Hamilton Park Drive, Suite F",Columbus,Georgia,31909-3067,United States,+17065968344,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/spherion-0015w00002urhwsaad/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,7,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,70f647ecb7c33a693163782d829654c9,2026-03-26 10:39:49,2026-03-26 10:39:49,1
96,EmployBridge,1340 14th St,Columbus,Georgia,31901-3859,United States,+17063226998,,https://www.employbridge.net,https://americanstaffing.net/members-directory/employbridge-0015w00002urf1qaat/,"Health Care (5%), Industrial (60%), Office Clerical (30%), Other (5%)",Temp Help (100%),,2001-04-03,Staffing Firm,No,,80,National,14,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,1f1daf2b4e4c654880a166849a344e0e,2026-03-26 10:39:49,2026-03-26 10:39:49,1
97,Kelly,5650 Whitesville Rd Ste 104,Columbus,Georgia,31904-3449,United States,+17063210444,,https://www.kellyservices.com,https://americanstaffing.net/members-directory/kelly-0015w00002urddfaad/,"Engineering (15%), Health Care (15%), IT (15%), Industrial (15%), Office Clerical (15%), Other (10%)","Direct Hire (15%), Temp Help (10%), Temp-to-Hire (15%), Long-Term Contract (15%), HR Consulting (10%), Payrolling (15%), Managed Services (15%)",,1974-10-01,Staffing Firm,No,,5,National,5,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,c7a3e2fe557f0c3caf2820285f07a28e,2026-03-26 10:39:49,2026-03-26 10:39:49,1
98,Randstad Holding NV,917 Brown Ave,Columbus,Georgia,31906-3631,United States,+17062436852,,https://www.randstad.us.com,https://americanstaffing.net/members-directory/randstad-holding-nv-0015w00002ureksaat/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,62,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,48fa7e8ebf90ba88d61b898ea3d4b5c0,2026-03-26 10:39:49,2026-03-26 10:39:49,1
99,Randstad Holding NV,1353 S Park St,Carrollton,Georgia,30117-4433,United States,+17708300800,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/randstad-holding-nv-0015w00002urgujaa1/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,62,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,4b111f7250810b2cabfa6130e917f92b,2026-03-26 10:39:49,2026-03-26 10:39:49,1
100,Randstad Holding NV,1341 South Park Street,Carrollton,Georgia,30117-4433,United States,+17708300800,,https://www.randstadusa.com,https://americanstaffing.net/members-directory/randstad-holding-nv-0015w00002urhytaat/,"Engineering (5%), Industrial (40%), Office Clerical (50%)","Direct Hire (5%), Temp Help (60%), Temp-to-Hire (5%), Long-Term Contract (15%), HR Consulting (15%), Payrolling (5%)",,1981-02-12,Staffing Firm,No,,12,National,62,asa_staffing_agencies,https://americanstaffing.net/asa-member-directory/,2026-03-26T10:39:49.031570+00:00,20260326_090225,5ad5dd2b124c0aa5ed417056221ffa53,2026-03-26 10:39:49,2026-03-26 10:39:49,1
